Symbol,Date,Signal,RSI14,BreakoutStrength,ConfirmationScore
CASTROLIND,2026-09-17,False,64.09398204930163,-0.00041711068707905863,2
CCL,2026-09-17,False,37.49835174906916,-0.06848471932124456,0
CDSL,2026-09-17,False,47.620901612718,-0.06615915265462802,1
CEATLTD,2026-09-17,False,51.47726374662234,-0.05578181200070276,2
CENTRALBK,2026-09-17,False,40.72646443783393,-0.03706050325004462,0
CENTURYPLY,2026-09-17,False,34.98455331194734,-0.07826921511919072,0
CERA,2026-09-17,False,38.358630270986005,-0.05834806769386214,0
CESC,2026-09-17,False,28.376207031284068,-0.12757301644904284,0
CGCL,2026-09-17,False,55.74664065364351,-0.08731955135711644,1
CGPOWER,2026-09-17,False,47.790514094673064,-0.05477980665950588,0
CHALET,2026-09-17,False,38.76804089123303,-0.10388852933229642,0
CHAMBLFERT,2026-09-17,False,37.56792479883946,-0.07384202383239191,0
CHENNPETRO,2026-09-17,False,48.520866627095984,-0.15701938862239195,1
CHOICEIN,2026-09-17,False,36.17542964234466,-0.09890109890109888,1
CHOLAFIN,2026-09-17,False,36.82342391397974,-0.08337662337662333,1
CHOLAHLDNG,2026-09-17,False,40.38849311137529,-0.05550311531918162,1
CIPLA,2026-09-17,False,41.82062622557216,-0.046619512258232354,0
CLEAN,2026-09-17,False,52.22666715888268,-0.053326433504645276,1
COALINDIA,2026-09-17,False,50.56996642556124,-0.041943589972439854,1
COCHINSHIP,2026-09-17,False,32.59229533969268,-0.1543823891354561,0
COFORGE,2026-09-17,False,43.78268125788214,-0.112903204375978,0
COHANCE,2026-09-17,False,47.13868213942127,-0.09101237147307584,1
COLPAL,2026-09-17,False,43.39651547732632,-0.03895763467273661,0
CONCOR,2026-09-17,False,39.56894886044723,-0.06912667587703114,0
CONCORDBIO,2026-09-17,False,49.987594265739865,-0.09529413276412535,0
COROMANDEL,2026-09-17,False,41.598848441204694,-0.06443007004884349,0
CRAFTSMAN,2026-09-17,False,50.59891047812357,-0.08850737561463451,1
CREDITACC,2026-09-17,False,37.07459664727733,-0.11275077745752426,0
CRISIL,2026-09-17,False,46.213243653377646,-0.0640394088669951,0
CROMPTON,2026-09-17,False,33.73546933744315,-0.13088800732233363,0
CUB,2026-09-17,False,56.44941261481869,-0.06843479349649995,1
CUMMINSIND,2026-09-17,False,40.87734954989901,-0.08460977388767321,0
CYIENT,2026-09-17,False,58.315040549148655,-0.12715340442986056,1
DABUR,2026-09-17,False,44.244777951286714,-0.043645904113785994,0
DALBHARAT,2026-09-17,False,34.84434177380032,-0.12036361099837667,0
DATAPATTNS,2026-09-17,False,43.67863206056707,-0.11777998046875005,0
DBREALTY,2026-09-17,False,24.98111027765185,-0.14948818735020586,0
DCMSHRIRAM,2026-09-17,False,35.26306933382662,-0.12103617686467172,0
DEEPAKFERT,2026-09-17,False,35.32771663935668,-0.1216180533249751,0
DEEPAKNTR,2026-09-17,False,38.104634825222114,-0.11824173141311811,0
DELHIVERY,2026-09-17,False,34.16971138787618,-0.09746794959255367,1
DEVYANI,2026-09-17,False,53.738237827068914,-0.11183073281620115,1
DIVISLAB,2026-09-17,False,61.71325197773664,-0.03036921476859078,2
DIXON,2026-09-17,False,34.8931587587048,-0.11399999999999999,0
DLF,2026-09-17,False,42.19257923210559,-0.07387307531255294,0
DMART,2026-09-17,False,36.89126532864353,-0.08815726015433045,0
DOMS,2026-09-17,False,34.69879246241305,-0.06943278716963275,0
DRREDDY,2026-09-17,False,52.43135882794645,-0.018543227595477774,2
ECLERX,2026-09-17,False,53.51211542078184,-0.06741028128031035,2
EICHERMOT,2026-09-17,False,33.949339427838865,-0.0794226044226044,0
EIDPARRY,2026-09-17,False,27.656004771043712,-0.18754338369474133,0
EIHOTEL,2026-09-17,False,52.73338418676179,-0.026140665664708407,2
ELECON,2026-09-17,False,41.78699422248449,-0.09732197447739077,0
ELGIEQUIP,2026-09-17,False,42.04945805392822,-0.0814368085352073,0
EMAMILTD,2026-09-17,False,46.769745640246896,-0.09044738548121978,1
EMCURE,2026-09-17,False,48.91273405227519,-0.051879063429897565,1
ENDURANCE,2026-09-17,False,39.19368563823371,-0.12408852577209473,1
ENGINERSIN,2026-09-17,False,54.20548810180721,-0.08941824423355782,1
ENRIN,2026-09-17,False,40.249407855286684,-0.11898552064147072,0
ERIS,2026-09-17,False,41.87666645179397,-0.03766523408819755,0
ESCORTS,2026-09-17,False,31.317785107968035,-0.10138762387754663,0
ETERNAL,2026-09-17,False,54.62070658835173,-0.03183662926831321,1
EXIDEIND,2026-09-17,False,41.32665134548779,-0.1054599953331814,0
FACT,2026-09-17,False,35.763614714093436,-0.17413044805112088,0
FEDERALBNK,2026-09-17,False,34.83436821917931,-0.08635368246268316,1
FINCABLES,2026-09-17,False,62.1191867676603,-0.06822426646987645,1
FINPIPE,2026-09-17,False,41.46061674384482,-0.07249253648179432,0
FIRSTCRY,2026-09-17,False,27.09613341551818,-0.16088248606453437,0
FIVESTAR,2026-09-17,False,48.108084755906496,-0.0484766806325605,0
FLUOROCHEM,2026-09-17,False,42.27731170595962,-0.08512860450696424,1
FORCEMOT,2026-09-17,False,48.76823147177857,-0.03757020557282298,0
FORTIS,2026-09-17,False,40.881933895174434,-0.05924200804946045,1
